filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
./to_push/data/2017-ULU01_0+1_20170728_113602.wav,2017-07-28 11:36:02,2017-07-28 11:41:02,50.0 - 1000.0,4,"[204.5, 214.0, 409.0, 429.0]",87.0,[8.59 5.04 5.98 3.31],None
./to_push/data/2017-ULU01_0+1_20170728_100602.wav,2017-07-28 10:06:02,2017-07-28 10:11:02,50.0 - 1000.0,4,"[145.0, 178.0, 289.0, 396.5]",89.0,[7.76 8.37 3.96 6.38],None
./to_push/data/2017-ULU01_0+1_20170728_170602.wav,2017-07-28 17:06:02,2017-07-28 17:11:02,50.0 - 1000.0,3,"[102.5, 203.0, 305.5]",100.0,[8.12 2.6  3.45],None
./to_push/data/2017-ULU01_0+1_20170728_103602.wav,2017-07-28 10:36:02,2017-07-28 10:41:02,50.0 - 1000.0,2,"[105.0, 210.5]",87.0,[11.21  9.13],None
./to_push/data/2017-ULU01_0+1_20170809_063602.wav,2017-08-09 06:36:02,2017-08-09 06:41:02,50.0 - 1000.0,3,"[113.0, 137.5, 150.0]",81.0,[2.48 6.14 2.33],None
./to_push/data/2017-ULU01_0+1_20170930_233602.wav,2017-09-30 23:36:02,2017-09-30 23:41:02,50.0 - 1000.0,0,[],97.0,[],None
./to_push/data/2017-ULU01_0+1_20170726_183602.wav,2017-07-26 18:36:02,2017-07-26 18:41:02,50.0 - 1000.0,1,[66.5],90.0,[4.61],None
./to_push/data/2017-ULU01_0+1_20170725_193602.wav,2017-07-25 19:36:02,2017-07-25 19:41:02,50.0 - 1000.0,5,"[109.5, 146.5, 154.0, 164.0, 217.5]",106.0,[7.07 5.86 5.4  1.12 2.48],None
./to_push/data/2017-ULU01_0+1_20170930_210602.wav,2017-09-30 21:06:02,2017-09-30 21:11:02,50.0 - 1000.0,0,[],93.0,[],None
./to_push/data/2017-ULU01_0+1_20170727_113602.wav,2017-07-27 11:36:02,2017-07-27 11:41:02,50.0 - 1000.0,4,"[123.0, 142.5, 156.0, 285.0]",93.0,[4.91 5.   3.19 1.22],None
./to_push/data/2017-ULU01_0+1_20170728_143602.wav,2017-07-28 14:36:02,2017-07-28 14:41:02,50.0 - 1000.0,2,"[140.5, 377.0]",97.0,[4.87 1.17],None
./to_push/data/2017-ULU01_0+1_20170809_070602.wav,2017-08-09 07:06:02,2017-08-09 07:11:02,50.0 - 1000.0,3,"[113.0, 138.0, 150.5]",79.0,[3.44 5.69 6.29],None
./to_push/data/2017-ULU01_0+1_20170930_200602.wav,2017-09-30 20:06:02,2017-09-30 20:11:02,50.0 - 1000.0,0,[],96.0,[],None
./to_push/data/2017-ULU01_0+1_20170728_163602.wav,2017-07-28 16:36:02,2017-07-28 16:41:02,50.0 - 1000.0,4,"[139.0, 188.0, 283.0, 467.5]",94.0,[1.35 3.32 2.15 1.26],None
./to_push/data/2017-ULU01_0+1_20170729_190602.wav,2017-07-29 19:06:02,2017-07-29 19:11:02,50.0 - 1000.0,3,"[165.5, 247.5, 662.0]",98.0,[6.49 7.   1.96],None
./to_push/data/2017-ULU01_0+1_20170930_193602.wav,2017-09-30 19:36:02,2017-09-30 19:41:02,50.0 - 1000.0,0,[],97.0,[],None
