filename,start time,end time,freq. band (Hz),number of peaks,peaks freq. (Hz),SPL (dB),SNLD (dB),AIS
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319235015.wav,2004-03-19 23:51:55,2004-03-19 23:53:35,50.0 - 1000.0,66,"[59.3, 79.9, 97.8, 120.4, 127.7, 135.0, 142.9, 150.2, 172.8, 177.5, 187.4, 197.4, 202.7, 217.3, 232.6, 239.9, 247.2, 254.5, 261.8, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 393.9, 403.8, 411.1, 419.1, 426.4, 433.7, 441.0, 449.0, 456.3, 463.6, 471.6, 478.9, 486.2, 493.5, 500.8, 508.7, 516.0, 523.3, 538.6, 545.9, 553.2, 568.5, 575.8, 583.1, 591.1, 605.7, 635.5, 658.1, 674.7, 688.0, 695.3, 697.3]",74.0,"[ 6.14  3.7   3.72  7.16  6.22  7.49  7.25  8.4   4.15  2.3   4.33  8.94
  4.18  3.1   5.72  7.08  7.18  9.38  5.26  8.51  7.91  6.16 10.58  8.5
  4.05  5.07  8.61  4.54  9.46  3.84  9.33  7.02  5.63  4.08  1.98  4.24
  6.04  4.23  3.57  3.43  1.69  4.3   4.9   1.74  2.8   4.04  4.6   2.48
  2.01  7.61  1.59  3.64  7.    1.31  1.68  4.61  1.16  1.04  1.87  1.52
  1.39  2.32  7.17  1.53  2.55  9.83]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040319235015.wav,2004-03-19 23:53:34,2004-03-19 23:55:14,50.0 - 1000.0,59,"[60.0, 88.5, 120.4, 127.7, 135.0, 150.2, 177.5, 197.4, 202.7, 210.0, 217.3, 231.9, 239.9, 247.2, 254.5, 261.8, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 351.4, 359.4, 366.7, 374.0, 393.9, 403.8, 411.1, 419.1, 426.4, 433.7, 441.0, 449.0, 450.3, 456.3, 463.6, 470.9, 478.9, 486.2, 493.5, 500.8, 508.7, 516.0, 523.3, 538.6, 545.9, 553.2, 568.5, 575.8, 605.7, 635.5, 674.7, 695.3, 725.2]",74.0,"[5.22 3.59 4.45 2.67 4.01 5.74 6.04 7.9  6.9  3.76 3.57 3.82 5.84 6.05
 7.98 4.74 7.86 7.63 7.45 9.54 6.17 6.44 3.77 9.36 4.13 8.5  2.02 9.5
 7.72 4.01 1.6  5.18 6.66 3.4  5.59 2.46 2.12 4.88 4.43 4.05 2.06 2.21
 4.01 4.99 2.32 2.8  8.3  2.12 3.09 7.06 1.05 1.41 4.   1.78 1.15 1.04
 7.42 2.86 1.41]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320005015.wav,2004-03-20 00:50:15,2004-03-20 00:51:55,50.0 - 1000.0,59,"[53.3, 59.3, 79.9, 109.7, 111.7, 120.4, 127.7, 150.2, 172.8, 177.5, 198.0, 202.7, 210.0, 217.3, 232.6, 239.9, 254.5, 269.7, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 389.2, 411.8, 419.1, 426.4, 441.7, 449.0, 456.3, 463.6, 470.9, 478.9, 486.2, 508.7, 516.0, 531.3, 538.6, 545.9, 561.2, 568.5, 575.8, 591.1, 605.7, 628.2, 658.1, 786.2, 824.1, 943.6, 982.1, 996.7]",79.0,"[2.18 8.59 3.81 4.71 9.3  7.25 4.7  5.8  2.17 4.1  5.31 1.24 4.58 1.82
 3.86 3.87 3.08 5.18 7.58 6.83 6.64 8.67 5.13 3.57 3.95 6.69 3.78 7.99
 4.13 7.73 6.24 3.56 4.19 2.91 2.59 3.44 6.13 2.12 3.59 3.41 8.34 1.65
 5.28 3.93 9.11 5.82 1.19 2.56 3.95 2.12 4.55 2.29 2.02 2.32 1.05 5.05
 6.33 9.74 7.46]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320005015.wav,2004-03-20 00:51:55,2004-03-20 00:53:35,50.0 - 1000.0,56,"[53.3, 59.3, 120.4, 127.7, 150.2, 172.8, 177.5, 197.4, 202.7, 210.0, 239.9, 247.2, 254.5, 262.4, 277.0, 284.3, 292.3, 299.6, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 389.2, 403.8, 411.1, 419.1, 426.4, 449.0, 456.3, 463.6, 470.9, 478.9, 486.2, 493.5, 508.7, 516.0, 523.3, 530.6, 538.6, 545.9, 553.2, 568.5, 591.1, 598.4, 605.7, 658.1, 786.2, 936.3, 982.1, 996.7]",78.0,"[3.24 8.63 5.86 3.94 4.47 3.49 2.03 7.72 2.01 5.97 5.18 3.57 4.25 4.09
 8.39 5.87 5.03 9.98 3.41 4.64 6.47 3.87 7.97 7.06 8.24 7.17 2.58 4.55
 6.86 2.86 1.34 3.18 2.51 2.69 4.84 1.56 2.72 6.51 1.14 2.9  3.29 5.55
 1.43 2.31 5.62 1.32 1.35 6.15 4.65 1.82 1.57 2.84 1.38 7.35 7.93 6.53]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320005015.wav,2004-03-20 00:53:34,2004-03-20 00:55:14,50.0 - 1000.0,62,"[53.3, 59.3, 120.4, 127.7, 150.2, 172.8, 177.5, 187.4, 197.4, 202.7, 210.0, 217.3, 232.6, 239.9, 247.2, 254.5, 262.4, 269.7, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 361.4, 366.7, 374.0, 389.2, 403.8, 411.8, 419.1, 426.4, 433.7, 449.0, 456.3, 463.6, 471.6, 478.9, 486.2, 493.5, 501.4, 508.7, 516.0, 523.3, 530.6, 538.6, 545.9, 553.2, 568.5, 591.1, 598.4, 605.7, 628.2, 658.1, 824.1, 982.1]",78.0,"[ 3.45 10.1   7.84  2.87  2.55  1.13  4.71  2.91  5.86  4.76  5.6   3.12
  3.43  3.48  5.01  6.66  4.06  2.83  3.5   8.49  4.82  8.57  5.03  7.15
  5.08  7.56  6.62  7.34  7.08  9.56  4.18  5.41  4.04  5.69  3.66  7.35
  3.1   5.32  2.74  4.96  5.95  4.98  6.03  4.54  5.88  1.98  5.05  7.44
  4.67  3.41  2.18  4.88  3.05  1.47  6.57  3.38  1.13  2.22  1.79  4.02
  7.58  7.14]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320015015.wav,2004-03-20 01:50:15,2004-03-20 01:51:55,50.0 - 1000.0,54,"[60.0, 91.2, 105.8, 113.1, 119.7, 150.2, 157.5, 187.4, 197.4, 239.9, 247.2, 254.5, 269.7, 277.0, 284.3, 291.6, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 389.2, 403.8, 411.8, 419.1, 426.4, 449.0, 456.3, 471.6, 472.9, 478.9, 486.2, 500.8, 508.7, 516.0, 523.3, 531.3, 538.6, 545.9, 568.5, 578.4, 591.1, 598.4, 620.9, 650.8, 658.1, 936.3]",75.0,"[ 7.21  1.51  3.75  2.15  5.59  2.79  3.88  2.23  8.52  3.36  6.02  2.78
  2.8   5.68  8.55  2.74  7.45  4.3   7.4   6.48  8.    8.12  6.81  9.48
 11.14  5.14  2.7   2.71  1.43  3.52  4.57  2.62  7.56  5.38  2.53  3.89
  4.01  2.    3.18  1.09  5.22  2.89  1.4   6.54  4.79  3.29  6.98  6.73
  2.67  3.19  1.26  1.04  2.    5.26]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320015015.wav,2004-03-20 01:51:55,2004-03-20 01:53:35,50.0 - 1000.0,54,"[60.0, 87.2, 88.5, 113.1, 120.4, 150.2, 157.5, 197.4, 202.7, 239.9, 247.2, 262.4, 269.7, 277.0, 284.3, 292.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 381.9, 389.2, 403.8, 411.8, 419.1, 426.4, 449.0, 456.3, 463.6, 471.6, 478.9, 486.2, 493.5, 500.8, 508.7, 516.0, 523.3, 531.3, 538.6, 545.9, 553.2, 568.5, 578.4, 591.1, 598.4, 824.1, 936.3]",75.0,"[ 4.58  1.06  2.17  1.41  6.78  7.1   2.62  5.62  5.46  4.41  2.72  5.41
  4.19  3.86  8.7   3.62 11.48  4.42  6.71  7.31  7.31  7.27  5.63  9.8
 10.29  5.06  2.78  3.96  1.87  3.75  4.53  3.1   7.72  3.05  4.04  2.2
  3.96  2.78  4.93  1.31  1.02  5.48  2.06  2.86  5.6   6.57  2.45  1.23
  7.45  5.98  1.56  4.13  7.63  4.48]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320015015.wav,2004-03-20 01:53:34,2004-03-20 01:55:14,50.0 - 1000.0,50,"[97.8, 150.2, 187.4, 197.4, 232.6, 239.9, 247.2, 254.5, 269.7, 277.0, 284.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.0, 393.9, 403.8, 411.8, 419.1, 426.4, 433.7, 449.0, 456.3, 463.6, 471.6, 472.9, 478.9, 486.2, 508.7, 516.0, 523.3, 531.3, 538.6, 545.9, 553.2, 568.5, 591.1, 598.4, 650.8, 658.1, 682.7, 824.1, 936.3]",75.0,"[ 1.88  5.8   1.56  8.92  1.35  3.37  5.67  3.16  4.55  7.2  10.3   9.12
  5.48  4.36  5.94  8.59  8.79  9.04  9.16 10.18  8.64  2.13  1.14  3.54
  2.34  4.44  6.59  1.56  2.71  2.95  3.51  2.69  3.38  2.61  5.33  6.53
  2.98  3.46  4.76  7.72  1.89  1.25  7.44  1.91  5.01  2.12  1.65 10.13
  8.42  4.15]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320025015.wav,2004-03-20 02:50:15,2004-03-20 02:51:55,50.0 - 1000.0,46,"[59.3, 150.2, 157.5, 164.8, 197.4, 202.7, 217.3, 224.6, 232.6, 239.9, 262.4, 269.7, 277.0, 284.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 368.7, 381.9, 403.8, 411.8, 426.4, 433.7, 441.7, 449.0, 471.6, 478.9, 486.2, 501.4, 508.7, 516.0, 523.3, 530.6, 538.6, 545.9, 561.2, 568.5, 597.7, 658.1]",72.0,"[ 6.82  5.64  5.59  3.05  3.05  3.68  4.47  2.86  4.76  3.2   5.54  4.23
  4.75  9.68 11.    5.99  5.73  3.21  5.3   5.44  8.23  8.24 11.03  6.92
  5.79  3.01  2.14  6.75  8.01  1.26  4.66  2.94  2.77  3.41  5.88  2.78
  3.07  1.4   3.16  2.16  6.33  1.3   3.91  5.46  1.15  1.54]",0
/mnt/data-disk/data/WCS/Cape_Bathurst_300_2018_2019/1208533023.040320025015.wav,2004-03-20 02:51:55,2004-03-20 02:53:35,50.0 - 1000.0,46,"[60.0, 113.1, 120.4, 176.8, 187.4, 197.4, 202.7, 210.0, 232.6, 239.9, 262.4, 269.7, 277.0, 284.3, 299.6, 306.9, 314.2, 322.2, 329.5, 336.8, 344.1, 352.1, 359.4, 366.7, 374.6, 381.9, 403.8, 411.8, 426.4, 433.7, 449.0, 478.9, 486.2, 500.8, 508.7, 524.0, 530.6, 538.6, 545.9, 561.2, 568.5, 591.1, 628.2, 658.1, 682.7, 936.3]",72.0,"[ 5.26  1.41  5.17  4.94  2.49  6.69  2.92  5.81  4.25  3.31  5.72  5.61
  7.61  8.05 10.25  4.87  4.49  5.54  5.16  6.62  8.76 10.02 11.04  5.6
  3.12  4.36  2.94  5.62  7.    2.4   5.76  5.13  5.04  1.18  3.7   3.11
  1.56  5.77  2.45  3.55  4.93  1.36  1.21  1.05 10.01  3.58]",0
